,Linear,GP,SingleCue,EqualWeighting
Linear,316.24161278771106,480.0051576654773,1067.0046534591668,4574.051937489021
GP,519.2864313665282,337.3728611881663,1058.3423677031424,4576.476085758125
SingleCue,1065.530316356894,1009.0453612829349,323.3517164039885,4817.71004229016
EqualWeighting,5821.844981032397,5757.292741672364,5956.214612919873,735.9413992682462
