"Linear","GP","SingleCue","EqualWeighting","p"
-1.2517929288975,-1.25453409024302,-1.21380051818486,-0.81681154136122,1
-1.67705893506119,-1.70545420470235,-1.65996502279307,-0.662029904220816,1
-0.228249269676843,-0.227967509304146,-0.224132574616881,-0.626800983335802,1
-0.0372525396750776,-0.0349105708587827,-0.0371885760355984,-0.599743835875839,1
-0.013579977772689,-0.0129285717032599,-0.0136367899156557,-0.509025787965762,1
-0.168325768611468,-0.171003615171967,-0.16426375141409,-0.531784188792124,1
-0.0173769619300072,-0.017293737464284,-0.0169512633760789,-0.528719176376116,1
-0.501459380061786,-0.490183829775642,-0.499736927032343,-0.83710173235169,1
-0.0427164702564771,-0.0419198134321515,-0.041930223446173,-0.700464617315044,1
-0.154022109270476,-0.159872265990383,-0.151656632676059,-0.555603171870112,1
-0.468501947003803,-0.467219694865681,-0.483898335419796,-0.74403246224698,1
-0.267671097116903,-0.258150791118119,-0.263748007636135,-0.51927107297629,1
-0.053118063106611,-0.0509649103243239,-0.0526972213733392,-0.625566184724973,1
-1.19020267625391,-1.15287107013409,-1.15497552236389,-0.521296721513291,1
-0.00796401438445476,-0.00776740579625299,-0.00781761191234138,-0.612799041081626,1
-0.341466787211615,-0.3467832074923,-0.340194968580306,-0.48801516339785,1
-0.010878283335736,-0.0104782436896058,-0.0107295650927059,-1.07033945573173,1
-0.0707657103825948,-0.0706152310526103,-0.0705456038857208,-0.627902993153848,1
-3.10677466962043,-3.06892159421011,-3.10928888150896,-0.690602206693275,1
-0.201280614684584,-0.198878586634378,-0.197865572878536,-0.566036435997781,1
-0.676275459431145,-0.668228844139778,-0.679094443328337,-0.830502824467988,1
-0.191564973760073,-0.197876928006201,-0.188045953711735,-0.535157729226974,1
-0.607371300402608,-0.620700327273331,-0.594495158800587,-0.575257264996474,1
-0.281976737741771,-0.2683583697051,-0.281496601578603,-0.65475924905239,1
-0.91147880850341,-0.886244259111672,-0.926621362003081,-0.701188097120545,1
-0.0124055285576941,-0.0118143809924106,-0.0121930775780369,-0.640660420686184,1
-0.453913996678487,-0.457161288229099,-0.449486587032561,-0.710825174984395,1
-0.939042578058946,-0.911565794683883,-0.948949296534388,-0.771127135006846,1
-0.288040334070181,-0.277810168555335,-0.275416944236905,-0.607594538080356,1
-0.900404936919117,-0.891390495486415,-0.918694036949798,-0.763877634045724,1
-0.0142860057153856,-0.0139305610408608,-0.0137935163496033,-0.592720757459533,1
-0.042361142021211,-0.0389843180725747,-0.0409532175145477,-0.536055228267222,1
-1.29798606098558,-1.32378707119038,-1.30424912468719,-0.768527834608534,1
-0.0227665138647987,-0.0232146865926067,-0.0216866339245348,-0.58897582056319,1
-0.837653510148788,-0.841146967451633,-0.840743275645464,-0.57887109660183,1
-0.073841599715111,-0.0727787566722123,-0.0732638449448097,-0.66946397570102,1
-0.405808073999307,-0.416577336236097,-0.396793265337387,-0.552976188445156,1
-0.195960170254566,-0.194882032865502,-0.192984771533332,-0.571427128132168,1
-0.148238608031951,-0.149442726183054,-0.147583242534474,-0.681379550445649,1
-0.0419366458956966,-0.0416620624150503,-0.0407106538325028,-0.489597532005095,1
-0.0654674396791994,-0.0617709075937753,-0.0632844589765525,-0.624320344101832,1
-0.245978473137471,-0.244162092056841,-0.244233150523176,-1.07771781053087,1
-0.00529091888213654,-0.0049998008681016,-0.00507052324223596,-0.538708217174233,1
-0.479367493149448,-0.462192830938168,-0.473567393161561,-0.77795373110794,1
-0.499073126807145,-0.520723926983309,-0.501388450935443,-0.793400769525129,1
-0.254024358976963,-0.248575441605742,-0.255167449827163,-0.641733011293619,1
-0.245561068777451,-0.243458654699846,-0.242857225872824,-0.581407678120316,1
-0.376056361967255,-0.363971056943292,-0.37290522342157,-0.632475554332725,1
-0.127116801679707,-0.125796379110178,-0.124749614902074,-0.575865339059997,1
-0.783656920604451,-0.795833991875143,-0.792403674983872,-0.675151721578291,1
-0.542312344815538,-0.539909304478257,-0.543653708525766,-0.46900729838693,2
-0.617686675907057,-0.616540658456418,-0.62347601178161,-0.527531102951279,2
-0.923811218326657,-0.920076733231586,-0.925194479363164,-0.624930052965337,2
-0.641059368680971,-0.644316590186188,-0.641277250652723,-0.320025096854161,2
-0.568768216319066,-0.569240864711021,-0.564544619710972,-0.55301385866394,2
-1.03218423416108,-1.02723073791729,-1.03124188232562,-0.699634482886906,2
-0.37756036581762,-0.377234591964865,-0.376380340995504,-0.495850632903214,2
-0.47382222401049,-0.472128596546784,-0.475332660595886,-0.518822560837225,2
-0.604058014688425,-0.601501334492889,-0.601288936226486,-0.365303527891754,2
-0.530588047311342,-0.533859331141681,-0.529497688873592,-0.744385820703843,2
-0.826652805049256,-0.824803429401818,-0.825641302335276,-0.613329295626714,2
-0.820905105127622,-0.818678369075269,-0.821411450915573,-0.829447121811297,2
-0.870760875033951,-0.878223492472717,-0.870960641522062,-0.726998220260302,2
-0.724758252555014,-0.716480569401147,-0.724426292660263,-0.557633659852084,2
-0.689253672343283,-0.690141910027761,-0.690292990299896,-1.00743446644528,2
-0.587405367931688,-0.587311102068926,-0.585872879651997,-0.470259170102112,2
-0.424606539477088,-0.421983907285625,-0.424826805554442,-0.796378114632942,2
-1.05527782372086,-1.06344090680374,-1.05807914402871,-0.807090508665323,2
-0.976802089114539,-0.973581214767765,-0.980114669464294,-0.755368544725557,2
-0.48269442397953,-0.482369037347626,-0.483387736772508,-0.684486439896511,2
-0.744663923011166,-0.749206902857769,-0.746801740590912,-0.581581750494349,2
-1.44839348048206,-1.44083974116439,-1.44548681608397,-0.961250444015848,2
-0.571958726566965,-0.568247221138593,-0.570861222010809,-0.76634279661625,2
-0.741004440915317,-0.742989867270737,-0.739200372752117,-0.524394091593983,2
-0.401578997927849,-0.401163180751237,-0.400565214066625,-0.464901565302469,2
-0.373641409923689,-0.372922054311516,-0.374417575668539,-0.44313614248684,2
-0.77129835205504,-0.778319174238995,-0.768872896556961,-0.632436052762937,2
-0.485934619094835,-0.486656204470349,-0.484874311410118,-0.633458044287157,2
-0.931263157289977,-0.926226765101755,-0.929910889953147,-0.841316271870658,2
