,Linear,GP,SingleCue,EqualWeighting
Linear,317.0038363537356,461.8344478021313,2124.1798821405037,4081.189292957249
GP,558.7794902433425,357.24602656041327,2264.084137426783,4121.470703336363
SingleCue,2474.399345578491,2508.4423948289614,410.4829006872782,4039.81758623569
EqualWeighting,8534.847306443964,8465.107360674723,8149.00054937007,1934.8347397631505
