"Linear","GP","SingleCue","EqualWeighting","p"
-0.692626285920377,-0.672922479943294,-0.698493082491753,-0.673034376334989,1
-0.701953480980215,-0.739699396004999,-36.0436533891172,-0.717209171852312,1
-0.800847775810315,-0.941513222498824,-1.39429067064852,-0.672957167761066,1
-0.25365088608518,-0.301746761589597,-0.155264489847624,-0.713644503054562,1
-1.55571408890115,-1.27275434106782,-1.03391138352317,-0.705222325732237,1
-1.15125556253693,-1.15499430256939,-0.93853945610117,-0.537711932703051,1
-0.207258995918298,-0.144473903522477,-0.545201314784384,-0.631908334181434,1
-0.196150144824184,-0.257614665170489,-0.478875665043031,-0.633033783796873,1
-0.835011985827524,-0.746881090521351,-0.641920405890431,-1.67386929469422,1
-0.111410160650576,-0.145464939819923,-0.498903366914911,-0.942417088518006,1
-3.03606549247828,-2.66418661073175,-0.983932624244716,-0.640584464026267,1
-1.14325228408147,-1.16862668912145,-0.802104353589237,-0.66934727724437,1
-0.0404215289703841,-0.0359588284238674,-0.382175983457625,-0.764136415547034,1
-0.0707800104574716,-0.125381406970264,-0.432402230842186,-0.493393961490666,1
-0.0166081351210545,-0.016434219656842,-0.329310253704846,-0.411026522241151,1
-1.17026196854123,-1.18081214347941,-0.767707559015326,-0.753149541081925,1
-0.34652646609114,-0.393560239027748,-0.585909250761315,-0.532609072908502,1
-0.0550393972802787,-0.0600018998522017,-0.391778765560107,-0.453639978117887,1
-2.08777518613223,-2.02243881637251,-0.90432393173044,-0.819826482473014,1
-1.7856462026116,-1.71188433370444,-0.891059782557755,-0.627135247324126,1
-0.30147025727941,-0.287095463419657,-0.579043443718843,-0.626750670210681,1
-0.163042680520824,-0.182864068721367,-0.528431517959585,-0.75471793935948,1
-0.0903237254136966,-0.094484030782558,-0.444004454216496,-0.509608546784915,1
-0.082569647969367,-0.0826324635410477,-0.420315952438007,-0.495262899763226,1
-0.0346500907504113,-0.0357595412476544,-0.386945653809952,-0.843115225242229,1
-0.31771243478311,-0.30455935204826,-0.645194281803931,-0.544526519519396,1
-0.994914944956026,-0.996048420592781,-0.759066791083637,-0.569377551066113,1
-0.579095572018492,-0.581590365052269,-0.665913725501428,-0.269864794809605,1
-0.123450073773627,-0.135478822124224,-0.410998502275749,-1.02682285818406,1
-0.973376964821488,-0.94603354125569,-0.819428518676806,-0.500112493439651,1
-1.11823348193722,-1.24954267453427,-0.767630627816305,-0.813963404500611,1
-0.193335328951348,-0.162485688535648,-0.502758197388617,-1.15276146313651,1
-0.19682937256333,-0.21099980759563,-0.542107046734233,-0.484200931955342,1
-0.309225425714304,-0.240869482976714,-0.558167691945117,-0.562797782667601,1
-0.467480561719487,-0.472531878622438,-0.6695320025794,-0.495058820618782,1
-0.0590188945811391,-0.0702201195398396,-0.414909198248209,-0.483803614530928,1
-0.378173571407377,-0.349785571927855,-0.615654311155783,-0.510094277602096,1
-0.522486386897786,-0.509725247612576,-0.651460073248308,-0.514664904122709,1
-0.380770534353135,-0.407208016472366,-0.645746280909959,-0.655621715520356,1
-0.150193752106689,-0.124600231594858,-0.519763508052873,-0.361264572404159,1
-0.459682919824053,-0.437923112336598,-0.649381568904313,-0.477160064671893,1
-0.0503255999249079,-0.0591657167399059,-0.424399439350168,-0.639953937853629,1
-0.037341193639443,-0.0430364201658636,-0.39240216280974,-0.422050449807987,1
-0.248470905737441,-0.261966978702978,-0.569091049470754,-0.612490887017663,1
-0.492354404646333,-0.514470667391561,-0.710981729509947,-0.43309629151411,1
-0.0783399261037096,-0.0842667077337607,-0.443869291973926,-0.65797575455618,1
-0.15428821093399,-0.169150358672274,-0.567322823034344,-0.571465170370005,1
-0.161373194799995,-0.170418942283932,-0.489030564412179,-0.432407920470152,1
-0.806435705841209,-0.785598113872396,-0.721550550971774,-0.584591985252042,1
-0.0704586783455213,-0.0700368138613615,-0.444824353846764,-0.668746606478931,1
-1.23622246306057,-1.1676530322241,-0.786038342440205,-0.812800676214104,1
-1.52676251775098,-1.72279798876088,-0.80290685560438,-0.461173485370953,1
-0.254708991831451,-0.292056570181062,-0.552744044769226,-0.310908982527184,1
-0.479413133981042,-0.469017736024728,-0.583702473166002,-0.498177732239246,1
-0.0464472127409565,-0.0415884856773569,-0.441025245253838,-0.404491092388747,1
-0.556338956236827,-0.454326505790897,-0.669457594985632,-0.510495897420224,1
-0.0477791758289379,-0.0461254346788129,-0.396507872765222,-0.377692768470123,1
-0.579288108483272,-0.548194997506046,-0.634873560830805,-0.82623933035119,1
-0.0610087028144406,-0.0818720278499422,-0.395983908091978,-0.853342422409353,1
-0.198831599688442,-0.245802973332577,-0.597542396203515,-0.672620991596357,1
-0.633092918491435,-0.694572472799232,-0.67985918070038,-0.790873235911386,1
-0.521849013234192,-0.492979131395077,-0.676056534936924,-0.841031248864203,1
-0.104886437901068,-0.111875932500446,-0.416002645207522,-0.397166069832618,1
-0.588322248831568,-0.774417164428564,-0.728526100062256,-0.824869098619454,1
-0.0218481941896538,-0.0215658313242466,-0.332469720557211,-0.320754613481195,1
-0.684154837880459,-0.753275646940928,-0.718231940340561,-0.621720124727359,1
-0.0197253576033777,-0.0142980534808282,-0.322936954334737,-0.695200953938227,1
-0.246393740094356,-0.178287377428087,-0.56114485041389,-0.623214706583031,1
-1.55037944664831,-1.67808037364293,-0.894522837734688,-0.327535271586166,1
-0.199035121127722,-0.176735912600518,-0.592844663475245,-0.296034272028551,1
-0.653586323330016,-0.817792415753005,-0.666354577322824,-0.961025671057497,1
-0.341195906423354,-0.276295951039763,-0.682738490543339,-0.550517665245103,1
-0.569358777269181,-0.606870882708972,-0.699479854225496,-0.534585967509902,1
-0.2412679190238,-0.380198485422217,-0.642618791034917,-0.662313163295174,1
-0.412388044275314,-0.452384391694125,-0.594280907710005,-0.572142595189905,1
-0.0439971234578636,-0.0391441244306594,-0.416993750101287,-0.455053137596971,1
-0.337020667856177,-0.369175188643273,-0.595091049892537,-0.726001552566465,1
-0.819377897115796,-0.822091415124117,-0.702797908619028,-0.800978196514588,1
-0.448643898097285,-0.487327143636035,-0.581683903842243,-0.489170810552201,1
-0.609444454465572,-0.718857906951707,-0.701822521512169,-0.70965936347104,1
-0.0359196911248294,-0.0422789454979341,-0.358338718087438,-0.424257126444309,1
-0.189844819549323,-0.151452375592344,-0.579950406691826,-0.447982510501899,1
-1.20876726770664,-1.0820449060266,-0.780130491520135,-1.29959173737119,1
-0.0375590486882356,-0.0610248394605971,-0.372233560348506,-0.668789225927111,1
-0.796947798694851,-0.789941142226312,-0.657070969298235,-0.464767761238731,1
-0.0872022357565447,-0.117457382854079,-0.489713804293976,-0.834392485933587,1
-0.516870947539541,-0.491203747232614,-0.685369796467201,-0.737057864125228,1
-0.406809162539661,-0.409013366165048,-0.599347158405359,-0.836363922806037,1
-0.105763292221723,-0.0849642418196761,-0.515938207852787,-0.870589274464027,1
-0.194380413930916,-0.142923861898748,-0.472320754662513,-0.409815570096037,1
-0.12481034458438,-0.12285266774002,-0.519277880360844,-0.964000091874219,1
-0.349733057044433,-0.436910115965266,-0.666477156171298,-0.993364521633675,1
-0.0324974397173865,-0.0284666865247906,-0.385021389337175,-0.634737107097047,1
-0.305694757683742,-0.372156412293068,-0.623582331999154,-0.736584240552943,1
-0.270042841666971,-0.275191024186878,-0.572824773662329,-0.516313887035288,1
-0.107271090369817,-0.108888061792903,-0.509369872623589,-0.507056007902984,1
-0.479547466906307,-0.466758588489306,-0.654620825258318,-0.743091250322611,1
-0.181071379369973,-0.212916665264417,-0.495785739703293,-0.512547001857336,1
-0.217037305554631,-0.182115485166402,-0.52960873284933,-0.607437729013575,1
-0.970593955192127,-1.10885387102437,-0.726270213013667,-0.419706185758569,1
-0.355114858215604,-0.375841568962955,-0.5947258432113,-0.576382762978965,1
-0.111234862886308,-0.131202107359273,-0.465650405469929,-0.789740167766405,1
-1.49725694470747,-1.31220212297323,-0.855256938460375,-1.07455503594955,1
-0.431062870442231,-0.438494063299857,-0.61785405011507,-0.745308907090905,1
-0.26192788236991,-0.248948426482227,-0.590463856927415,-0.476086641825752,1
-0.220506357783977,-0.205173511280828,-0.547355381816946,-0.540543768126873,1
-0.312558784451255,-0.345878567448154,-0.580606849574956,-0.621300395741994,1
-0.195823674254736,-0.242565720063134,-0.602252011834281,-0.618169026997582,1
-0.38353498251143,-0.390470002306901,-0.672187297548389,-0.593252615533281,1
-0.0480341249473359,-0.0301741205441731,-0.398570851307893,-0.272078347182174,1
