,Linear,GP,SingleCue,EqualWeighting
Linear,93.56239818586945,94.37452844383132,93.836645351753,1552.0496269367327
GP,93.15719735088629,92.44659915935104,93.15060475499418,1552.215890143907
SingleCue,92.77945956288775,93.26672271229177,92.51820671627681,1548.8406333685439
EqualWeighting,1818.9866810475398,1820.4993643872067,1817.5723763002993,180.44521935493714
