,Linear,GP,SingleCue,EqualWeighting
Linear,384.9547040395568,2599.3019270997947,4029.6849229396425,3449.232566533222
GP,8079.375975606896,2599.3019270997947,7173.879464958227,3609.9813419447255
SingleCue,4831.761192186566,2599.3019270997947,673.8001128526428,3591.2110526235956
EqualWeighting,7888.069174701651,2599.3019270997947,7155.318603011361,2075.036003931132
