,Linear,GP,SingleCue,EqualWeighting
Linear,115.85195757166201,138.0703568900522,228.98311451553104,1399.1604372696356
GP,183.1318312281618,136.99381877561052,263.4833478388142,1414.6556739213047
SingleCue,221.60091952092978,206.4115203610874,110.53071159019288,1392.8322621971215
EqualWeighting,2009.6275286764817,1974.9081833737257,2039.0366121461138,355.41394667365023
