,term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
1,null_model,2,3785.41956414548,3797.87858638341,-1890.70978207274,3781.41956414548,NA,NA,NA
2,resnet_model,5,3773.56045747757,3804.70801307239,-1881.78022873879,3763.56045747757,17.8591066679078,3,0.000470280336339584
