,Linear,GP,SingleCue,EqualWeighting
Linear,97.94502699603675,98.96866974375796,98.49335454429547,1495.421006894387
GP,98.47949712575667,97.47362071445355,98.94183723284709,1492.0654504925797
SingleCue,97.2256835989627,98.125217378472,96.69905763999682,1492.4868026965905
EqualWeighting,1792.0909740908419,1790.3291370998063,1789.952206391075,196.84419915344705
