,Linear,GP,SingleCue,EqualWeighting
Linear,307.35938275356824,331.4135550776415,421.3131144115795,4446.631071100755
GP,374.7685257048048,326.91403864941515,455.5757898266555,4458.937014557791
SingleCue,411.6060626827803,397.80346045185127,299.74797594646657,4434.159698262256
EqualWeighting,5620.705183814864,5585.736684860739,5646.561194837488,732.7033651820345
