,Var1,participant_n,trial_n,ImageLeft,ImageRight,RewardLeft,RewardRight,MaxReward,MinReward,TotalReward,MaxPerformance,MinPerformance,responseKey,RT,response,PCorrectChoice,leftChoice,rightChoice,CumSum,CumPCorrect,SimChoice,SimReward,RandomPerformance,PCorrectChoiceSim,CumSum_sim,CumPCorrect_sim,loadings_left1,loadings_left2,loadings_left3,loadings_left4,loadings_left5,loadings_left6,loadings_left7,loadings_left8,loadings_left9,loadings_left10,loadings_left11,loadings_left12,loadings_left13,loadings_left14,loadings_right1,loadings_right2,loadings_right3,loadings_right4,loadings_right5,loadings_right6,loadings_right7,loadings_right8,loadings_right9,loadings_right10,loadings_right11,loadings_right12,loadings_right13,loadings_right14
10,10,participant_01,11,stimuli/snail.png,stimuli/lamppost.png,12,34,34,12,360,557,223,left,1115,incorrect,0,1,0,6,0.545454545454545,1,34,309,1,3,0.272727272727273,0.0972706452012062,0.506755948066711,1.57819795608521,0.053854264318943,0.0159824974834919,0.0133259063586593,0.592753946781158,0.0316385962069035,0.525636792182922,0.00695114443078637,0.0287123396992683,0.0522552914917469,0.409484893083572,0.00935372710227966,1.02501153945923,0.0110614849254489,0.351978898048401,0.00814283825457096,0.297694563865662,0.0199202038347721,1.35973596572876,0.453936278820038,0.182740762829781,0.0618271976709366,0.115035988390446,0.0130193652585149,0.00753451744094491,0.235769689083099
11,11,participant_01,12,stimuli/road_sign.png,stimuli/telephone_pole.png,25,43,43,25,385,600,248,left,1614,incorrect,0,1,0,6,0.5,1,43,352,1,4,0.333333333333333,0.748301148414612,0.00898826215416193,0.275438100099564,0.0098156314343214,0.0814460963010788,0.279654175043106,0.873740136623383,1.1206191778183,0.00834339763969183,0.0737638920545578,0.297471821308136,0.00816398207098246,0.00644194660708308,0.0216643903404474,1.12611699104309,0.00121887901332229,0.0119566386565566,0.00141085858922452,0.288771480321884,0.00452579604461789,0.40839210152626,0.762759327888489,0.0156158786267042,0.384784609079361,0.817458033561707,0.0018347593722865,0.00384478131309152,0.00864275917410851
12,12,participant_01,13,stimuli/boar.png,stimuli/trumpet.png,1,62,62,1,447,662,249,right,1316,correct,1,0,1,7,0.538461538461538,0,1,353,0,4,0.307692307692308,0.0229278728365898,0.173633798956871,2.38519525527954,0.0107389185577631,0.0109924990683794,0.0203493572771549,0.134369388222694,0.0150973629206419,0.0268480218946934,0.0104453144595027,0.0166594590991735,0.010594179853797,0.0143899424001575,0.0116382818669081,1.54627573490143,0.0350594855844975,0.0395171828567982,0.175488471984863,0.0166559517383575,0.403159290552139,0.020896352827549,0.162858098745346,0.578296661376953,0.0114115076139569,0.128020942211151,0.00929048750549555,0.0186489224433899,0.005910431034863
13,13,participant_01,14,stimuli/tuning_fork.png,stimuli/squirt_gun.png,80,18,80,18,527,742,267,left,1515,correct,1,1,0,8,0.571428571428571,0,80,433,1,5,0.357142857142857,2.01072311401367,0.0657982677221298,0.0479804575443268,0.0436749011278152,0.0447039715945721,0.10618582367897,0.0553575828671455,0.0161635614931583,0.202422425150871,0.0166245382279158,0.0566244274377823,0.00510499626398087,0.00309500237926841,0.0334535427391529,0.75904643535614,0.0190465413033962,0.514785706996918,0.978193759918213,0.0135970944538713,0.329559981822968,0.172729268670082,0.567603290081024,0.00601608352735639,0.0190091598778963,0.0147636169567704,0.557220160961151,0.674169361591339,0.0956897437572479
14,14,participant_01,15,stimuli/screwdriver.png,stimuli/balloon.png,72,7,72,7,599,814,274,left,1098,correct,1,1,0,9,0.6,0,72,505,1,6,0.4,2.06100296974182,0.0213731080293655,0.00424599973484874,0.0339562818408012,0.020089203491807,0.121578834950924,0.0567249283194542,0.105965003371239,0.0136171830818057,0.0505076684057713,0.0144877005368471,0.0384689755737782,0.010237080976367,0.02348199672997,0.138835325837135,0.421899646520615,0.03005126491189,0.152545958757401,0.0832118093967438,1.82176077365875,0.469624906778336,0.457164436578751,0.420349091291428,0.00674212630838156,0.0119313830509782,0.0194950364530087,0.021581657230854,0.125625103712082
15,15,participant_01,16,stimuli/brooch.png,stimuli/throne.png,26,28,28,26,625,842,300,left,1362,incorrect,0,1,0,9,0.5625,0,26,531,0,6,0.375,0.417868196964264,0.221326932311058,0.0657331123948097,1.45643377304077,0.367668062448502,0.65095329284668,0.387116968631744,0.0147888846695423,1.14751183986664,0.00136938272044063,0.0582769066095352,0.00692527834326029,0.0764183104038239,0.0386971458792686,0.68257600069046,0.0565730072557926,0.0496004819869995,0.3375443816185,0.933933675289154,0.416591137647629,0.00854517705738544,0.654432058334351,1.00473260879517,0.0149556081742048,0.28564777970314,0.00910749100148678,0.0667592585086823,0.094543494284153
16,16,participant_01,17,stimuli/pliers.png,stimuli/chainsaw.png,87,59,87,59,712,929,359,left,941,correct,1,1,0,10,0.588235294117647,1,59,590,0,6,0.352941176470588,2.16795325279236,0.029826957732439,0.044186782091856,0.00552829215303063,0.00622419454157352,0.0145422788336873,0.0165538508445025,0.0920111984014511,0.00755814835429192,0.0385654084384441,0.00981387868523598,0.00554685574024916,0.049418430775404,0.0267089996486902,1.68115592002869,0.00410852581262589,0.0135209960862994,0.00591662991791964,0.00261572748422623,0.0186246186494827,0.160365417599678,0.786794066429138,0.0103063210844994,0.256950855255127,0.130590677261353,0.00686756847426295,0.0203569978475571,0.0123766958713532
17,17,participant_01,18,stimuli/zipper.png,stimuli/tapestry.png,82,7,82,7,794,1011,366,left,979,correct,1,1,0,11,0.611111111111111,0,82,672,1,7,0.388888888888889,1.76225209236145,0.00261414027772844,0.0278273429721594,0.875909209251404,0.437721401453018,0.241525158286095,0.0146856913343072,0.0459638014435768,0.141940921545029,0.0407154336571693,0.00779781769961119,0.00433473428711295,0.0461140982806683,0.00906143989413977,0.198490932583809,0.0349039398133755,0.018306402489543,1.30440580844879,0.776661038398743,0.977084338665009,0.24780447781086,0.00192286027595401,0.783428251743317,0.0100310174748302,0.0201364234089851,0.0221723672002554,0.0347911790013313,0.0175090935081244
18,18,participant_01,19,stimuli/sandbox.png,stimuli/wine_cooler.png,19,57,57,19,813,1068,385,left,1223,incorrect,0,1,0,11,0.578947368421053,1,57,729,1,8,0.421052631578947,0.542236864566803,0.0604385733604431,0.247251391410828,0.0573579259216785,0.921387672424316,0.505534768104553,0.467616379261017,0.611655235290527,0.081770271062851,0.0649866536259651,1.07726836204529,0.512333571910858,0.54275780916214,0.00625351257622242,1.26679301261902,1.22950172424316,0.00962674897164106,0.205114141106606,0.212509825825691,0.106547765433788,0.0374325625598431,0.0667853653430939,0.413126677274704,0.188809469342232,0.0414533093571663,0.164061903953552,0.0340100303292274,1.32866096496582
19,19,participant_01,20,stimuli/skull.png,stimuli/container.png,7,42,42,7,820,1110,392,left,1747,incorrect,0,1,0,11,0.55,0,7,736,0,8,0.4,0.270685911178589,0.0403891131281853,0.851107180118561,0.900381088256836,0.00529060419648886,0.0243911594152451,0.0110158240422606,0.0226981863379478,0.377255022525787,0.00759720476344228,0.736136615276337,0.00783000700175762,0.0298754777759314,0.0112741887569428,0.948984503746033,0.0242455750703812,0.0167002528905869,3.08454109472223E-05,0.870686650276184,0.0855276733636856,0.0412650741636753,0.88706111907959,0.00892384722828865,0.136142134666443,0.365200459957123,0.00166748161427677,0.0740533471107483,0.00504708662629128
20,20,participant_01,21,stimuli/headlamp.png,stimuli/mailbox.png,53,43,53,43,873,1163,435,left,1399,correct,1,1,0,12,0.571428571428571,1,43,779,0,8,0.380952380952381,1.44745659828186,0.021944884210825,0.0374201573431492,0.650596499443054,0.00604929123073816,0.231105402112007,0.00386866158805788,0.416878461837769,0.126869395375252,0.77782154083252,0.0159196890890598,0.00663057202473283,0.0648171678185463,0.0113619798794389,0.942895293235779,0.033926360309124,0.160196259617805,0.0431294962763786,0.748574733734131,0.0195543430745602,0.700553834438324,0.428584367036819,0.404316782951355,0.375470340251923,0.113899648189545,0.012616422958672,0.000924964842852205,0.0181639771908522
